dataset,exposure,exposure_label,outcome,outcome_label,APP_REGION,Caregiving_MentalHealth2,weighted_n,raw_n,row_pct,row_raw_n,MedConditions_Depression,FreqUseInternet,Internet_Cell2,Internet_HighSpeed2,Electronic2_HealthInfo,TestSource_HCPCounselor,RiskTest_Counselor,SharedRes4_Counselor,UndGenTest3_Counselor,UseInternet,Internet_DialUp,Internet_HighSpeed,Internet_Cell
HINTS7_2024,APP_REGION,Appalachian Subregion,Caregiving_MentalHealth2,F5. (For the individual to whom you provide the most care) Please mark all condi,A,-1.0,56557.0,318,0.8176285202104898,402,,,,,,,,,,,,,
HINTS7_2024,APP_REGION,Appalachian Subregion,Caregiving_MentalHealth2,F5. (For the individual to whom you provide the most care) Please mark all condi,A,2.0,6962.0,40,0.10064766090325565,402,,,,,,,,,,,,,
HINTS7_2024,APP_REGION,Appalachian Subregion,Caregiving_MentalHealth2,F5. (For the individual to whom you provide the most care) Please mark all condi,A,1.0,4470.0,23,0.06462152315965998,402,,,,,,,,,,,,,
HINTS7_2024,APP_REGION,Appalachian Subregion,Caregiving_MentalHealth2,F5. (For the individual to whom you provide the most care) Please mark all condi,A,-6.0,1005.0,7,0.0145290001734806,402,,,,,,,,,,,,,
HINTS7_2024,APP_REGION,Appalachian Subregion,Caregiving_MentalHealth2,F5. (For the individual to whom you provide the most care) Please mark all condi,A,-9.0,262.0,2,0.0037876597467183253,402,,,,,,,,,,,,,
HINTS7_2024,APP_REGION,Appalachian Subregion,Caregiving_MentalHealth2,F5. (For the individual to whom you provide the most care) Please mark all condi,A,-7.0,-84.0,12,-0.0012143641936043486,402,,,,,,,,,,,,,
HINTS7_2024,APP_REGION,Appalachian Subregion,MedConditions_Depression,I5e. Has a doctor or other health professional ever told you that you had depres,A,,48218.0,272,0.6970739605620772,402,2.0,,,,,,,,,,,,
HINTS7_2024,APP_REGION,Appalachian Subregion,MedConditions_Depression,I5e. Has a doctor or other health professional ever told you that you had depres,A,,20285.0,106,0.29325449603885967,402,1.0,,,,,,,,,,,,
HINTS7_2024,APP_REGION,Appalachian Subregion,MedConditions_Depression,I5e. Has a doctor or other health professional ever told you that you had depres,A,,795.0,6,0.011493089689469728,402,-9.0,,,,,,,,,,,,
HINTS7_2024,APP_REGION,Appalachian Subregion,MedConditions_Depression,I5e. Has a doctor or other health professional ever told you that you had depres,A,,-126.0,18,-0.0018215462904065229,402,-7.0,,,,,,,,,,,,
HINTS7_2024,FreqUseInternet,"B1. About how often do you use the Internet, either on a computer, laptop, smart",Caregiving_MentalHealth2,F5. (For the individual to whom you provide the most care) Please mark all condi,,-1.0,814554.0,4572,0.826074434057364,5755,,1.0,,,,,,,,,,,
HINTS7_2024,FreqUseInternet,"B1. About how often do you use the Internet, either on a computer, laptop, smart",Caregiving_MentalHealth2,F5. (For the individual to whom you provide the most care) Please mark all condi,,2.0,117711.0,668,0.11937581511763047,5755,,1.0,,,,,,,,,,,
HINTS7_2024,FreqUseInternet,"B1. About how often do you use the Internet, either on a computer, laptop, smart",Caregiving_MentalHealth2,F5. (For the individual to whom you provide the most care) Please mark all condi,,1.0,48243.0,262,0.04892531240682559,5755,,1.0,,,,,,,,,,,
HINTS7_2024,FreqUseInternet,"B1. About how often do you use the Internet, either on a computer, laptop, smart",Caregiving_MentalHealth2,F5. (For the individual to whom you provide the most care) Please mark all condi,,-6.0,5012.0,38,0.005082885927139893,5755,,1.0,,,,,,,,,,,
HINTS7_2024,FreqUseInternet,"B1. About how often do you use the Internet, either on a computer, laptop, smart",Caregiving_MentalHealth2,F5. (For the individual to whom you provide the most care) Please mark all condi,,-9.0,1014.0,10,0.0010283412470310956,5755,,1.0,,,,,,,,,,,
HINTS7_2024,FreqUseInternet,"B1. About how often do you use the Internet, either on a computer, laptop, smart",Caregiving_MentalHealth2,F5. (For the individual to whom you provide the most care) Please mark all condi,,-2.0,920.0,5,0.0009330117823161814,5755,,1.0,,,,,,,,,,,
HINTS7_2024,FreqUseInternet,"B1. About how often do you use the Internet, either on a computer, laptop, smart",Caregiving_MentalHealth2,F5. (For the individual to whom you provide the most care) Please mark all condi,,-7.0,-1400.0,200,-0.0014198005383072327,5755,,1.0,,,,,,,,,,,
HINTS7_2024,FreqUseInternet,"B1. About how often do you use the Internet, either on a computer, laptop, smart",Caregiving_MentalHealth2,F5. (For the individual to whom you provide the most care) Please mark all condi,,-1.0,66681.0,381,0.8326174362560248,481,,2.0,,,,,,,,,,,
HINTS7_2024,FreqUseInternet,"B1. About how often do you use the Internet, either on a computer, laptop, smart",Caregiving_MentalHealth2,F5. (For the individual to whom you provide the most care) Please mark all condi,,2.0,9634.0,58,0.12029568214169767,481,,2.0,,,,,,,,,,,
HINTS7_2024,FreqUseInternet,"B1. About how often do you use the Internet, either on a computer, laptop, smart",Caregiving_MentalHealth2,F5. (For the individual to whom you provide the most care) Please mark all condi,,1.0,3356.0,21,0.04190495217641036,481,,2.0,,,,,,,,,,,
HINTS7_2024,FreqUseInternet,"B1. About how often do you use the Internet, either on a computer, laptop, smart",Caregiving_MentalHealth2,F5. (For the individual to whom you provide the most care) Please mark all condi,,-2.0,230.0,1,0.002871912693854107,481,,2.0,,,,,,,,,,,
HINTS7_2024,FreqUseInternet,"B1. About how often do you use the Internet, either on a computer, laptop, smart",Caregiving_MentalHealth2,F5. (For the individual to whom you provide the most care) Please mark all condi,,-9.0,175.0,1,0.002185150962715081,481,,2.0,,,,,,,,,,,
HINTS7_2024,FreqUseInternet,"B1. About how often do you use the Internet, either on a computer, laptop, smart",Caregiving_MentalHealth2,F5. (For the individual to whom you provide the most care) Please mark all condi,,-6.0,122.0,3,0.0015233623854356566,481,,2.0,,,,,,,,,,,
HINTS7_2024,FreqUseInternet,"B1. About how often do you use the Internet, either on a computer, laptop, smart",Caregiving_MentalHealth2,F5. (For the individual to whom you provide the most care) Please mark all condi,,-7.0,-112.0,16,-0.0013984966161376521,481,,2.0,,,,,,,,,,,
HINTS7_2024,FreqUseInternet,"B1. About how often do you use the Internet, either on a computer, laptop, smart",Caregiving_MentalHealth2,F5. (For the individual to whom you provide the most care) Please mark all condi,,-1.0,57795.0,334,0.8349947988904299,416,,3.0,,,,,,,,,,,
