variable,value,raw_n,raw_pct
Age,25-34 years old,16519,0.33581346181212013
Age,35-44 years old,13241,0.2691752556361936
Age,18-24 years old,9210,0.18722937122644387
Age,45-54 years old,6275,0.1275639852818605
Age,55-64 years old,2626,0.05338374905978736
Age,65 years or older,942,0.019149844483747028
Age,Prefer not to say,378,0.0076843324998475335
EdLevel,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20278,0.4122298794494928
EdLevel,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12589,0.2559207985200545
EdLevel,Some college/university study without earning a degree,6182,0.12567339553983453
EdLevel,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3631,0.0738143156268423
EdLevel,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",2624,0.05334309121587282
EdLevel,"Associate degree (A.A., A.S., etc.)",1562,0.031753776097253564
EdLevel,,1042,0.021182736679473887
EdLevel,Other (please specify):,701,0.014250574292045293
EdLevel,Primary/elementary school,582,0.011831432579130328
Employment,Employed,33750,0.6861011160578154
Employment,"Independent contractor, freelancer, or self-employed",6708,0.1363664084893578
Employment,Student,4428,0.09001646642678539
Employment,Not employed,2227,0.045272509198837185
Employment,,852,0.017320241507592853
Employment,Retired,708,0.014392876745746174
Employment,I prefer not to say,518,0.010530381573865138
YearsCode,,6149,0.12500254111524467
YearsCode,10.0,3108,0.06318228944319083
YearsCode,15.0,2540,0.05163546177146226
YearsCode,20.0,2497,0.05076131812729971
YearsCode,5.0,2267,0.04608566607712793
YearsCode,8.0,2113,0.04295501209570857
YearsCode,6.0,1925,0.039133174767742064
YearsCode,25.0,1832,0.037242585025716084
YearsCode,7.0,1820,0.03699863796222886
YearsCode,12.0,1800,0.03659205952308349
YearsCode,30.0,1740,0.03537232420564738
YearsCode,4.0,1602,0.032566932975544305
YearsCode,9.0,1399,0.02844016181821878
YearsCode,3.0,1284,0.02610233579313289
YearsCode,13.0,1171,0.02380516761196154
YearsCode,14.0,1109,0.022544774450610885
YearsCode,18.0,1028,0.020898131772072125
YearsCode,11.0,1021,0.020755829318371246
YearsCode,40.0,979,0.019902014596165966
YearsCode,16.0,977,0.019861356752251428
YearsCode,2.0,913,0.018560305746986236
YearsCode,35.0,907,0.018438332215242624
YearsCode,17.0,825,0.0167713606147466
YearsCode,1.0,794,0.016141164034071273
YearsCode,22.0,619,0.012583602691549267
YearsCode,28.0,515,0.010469394807993332
YearsCode,23.0,506,0.010286434510377914
YearsCode,27.0,479,0.009737553617531662
YearsCode,26.0,469,0.009534264397958975
YearsCode,19.0,464,0.009432619788172633
DevType,"Developer, full-stack",12351,0.2510825150942246
DevType,"Developer, back-end",6453,0.13118253339025432
DevType,,5511,0.11203268890650729
DevType,Student,3008,0.06114939724746397
DevType,"Architect, software or solutions",2684,0.05456282653330894
DevType,"Developer, front-end",1974,0.040129291943648226
DevType,"Developer, desktop or enterprise applications",1919,0.03901120123599845
DevType,Other (please specify):,1825,0.037100282572015204
DevType,"Developer, mobile",1391,0.028277530442560633
DevType,"Developer, embedded applications or devices",1274,0.025899046573560205
DevType,Academic researcher,1131,0.022992010733670794
DevType,Engineering manager,1068,0.02171128865036287
DevType,DevOps engineer or professional,1053,0.021406354821003844
DevType,Data engineer,770,0.015653269907096826
DevType,AI/ML engineer,677,0.013762680165070847
DevType,Data scientist,574,0.01166880120347218
DevType,"Senior executive (C-suite, VP, etc.)",528,0.010733670793437825
DevType,System administrator,480,0.009757882539488932
DevType,Retired,458,0.009310646256429021
DevType,"Developer, game or graphics",451,0.009168343802728142
